law,theta,N,w,rate_hat_Delta,rate_hat_U,rate_star,rel_err_pct,num_ci_lo,num_ci_hi,c_pred,L_pred,envelope_ok,u0_hat,u0_pred,L_hat,L_hat_pred,rho_min,rho_max,c_I,C_I,rho_band_ok,s_pin,s_ov,window_empty
product,0.6,127,0.5,0.23129728513930317,0.2313895944181843,0.22314355131420974,3.6540306798344866,0.23097049957719296,0.23462106183440745,0.0225,1.3928866621631992,True,0.25,0.25,0.35231678885861617,1.3928866621631992,3.999999999999461,4.311140072563164,0.0493827160493827,432.00000000000017,True,31,23,True
product,0.6,255,0.5,0.22738753017671923,0.22742365908155032,0.22314355131420974,1.9019052253647781,0.2272243209049782,0.22926124113065102,0.0225,1.3863151341961686,True,0.25,0.25,0.35231678885858864,1.3863151341961686,3.999999999999461,4.314188647132414,0.0493827160493827,432.00000000000017,True,31,47,False
product,0.6,511,0.5,0.22531427868036608,0.22532943123234192,0.22314355131420974,0.9727941288788242,0.22523270306658008,0.2263170458518837,0.0225,1.386294361326157,True,0.25,0.25,0.3523167888585888,1.386294361326157,3.999999999999461,4.3157348889596845,0.0493827160493827,432.00000000000017,True,31,95,False
product,0.6,1023,0.5,0.2244316755750635,0.22444354680063822,0.22314355131420974,0.5772625976719092,0.2242275368771307,0.2252542539892376,0.0225,1.3862943611198906,True,0.25,0.25,0.35231678885858947,1.3862943611198906,3.999999999999461,4.316524115877251,0.0493827160493827,432.00000000000017,True,31,191,False
product,0.6,127,0.9,0.2310842210892714,0.23099652628993705,0.22314355131420974,3.5585477278168622,0.2307869624602749,0.2341699046461009,0.0225,1.3928866621631992,True,0.08999999999999998,0.25,0.24734762218078718,1.3928866621631992,7.1157171274027124,13.581061298884336,3.0693441578870656e-05,2743599.9999999986,True,31,23,True
product,0.6,255,0.9,0.2273311410084802,0.22730866861671287,0.22314355131420974,1.8766348700679665,0.22717892619121974,0.22913336256724848,0.0225,1.3863151341961686,True,0.08999999999999998,0.25,0.2473476221807576,1.3863151341961686,7.076473265492608,13.639134796623283,3.0693441578870656e-05,2743599.9999999986,True,31,47,False
product,0.6,511,0.9,0.22530066147421585,0.2252954409092578,0.22314355131420974,0.9666916867199402,0.22522360404288233,0.22628343688352157,0.0225,1.386294361326157,True,0.08999999999999998,0.25,0.24734762218075776,1.386294361326157,7.056756538705014,13.67015583425158,3.0693441578870656e-05,2743599.9999999986,True,31,95,False
product,0.6,1023,0.9,0.22442749492584102,0.22442602277172802,0.22314355131420974,0.5753890731188348,0.22422512741011585,0.22523915155875932,0.0225,1.3862943611198906,True,0.08999999999999998,0.25,0.2473476221807581,1.3862943611198906,7.046728762971934,13.67015583425158,3.0693441578870656e-05,2743599.9999999986,True,31,191,False
product,0.8,127,0.5,0.5196854566313805,0.5200170556821978,0.5108256237659908,1.7344143389033289,0.519685456612467,0.5234909962588674,0.04000000000000001,2.1973019518725527,True,0.25,0.25,0.7189814574099977,2.1973019518725527,3.999999999999461,4.406618197364328,0.0493827160493827,432.00000000000017,True,18,28,False
product,0.8,255,0.5,0.5153315770623481,0.5154960772483511,0.5108256237659908,0.8820922613743933,0.515331577054712,0.5173568972853131,0.04000000000000001,2.1972245800994847,True,0.25,0.25,0.7189814574099977,2.1972245800994847,3.999999999999461,4.407304238338576,0.0493827160493827,432.00000000000017,True,18,56,False
product,0.8,511,0.5,0.5130989738605366,0.5131807673206314,0.5108256237659908,0.4450344674931947,0.5130989738559579,0.5141464278517377,0.04000000000000001,2.1972245773362196,True,0.25,0.25,0.7189814574099977,2.1972245773362196,3.999999999999461,4.407655247036621,0.0493827160493827,432.00000000000017,True,18,113,False
product,0.8,1023,0.5,0.5121887102786089,0.5122606079004708,0.5108256237659908,0.2668398860982945,0.5119625472318723,0.513076148507285,0.04000000000000001,2.1972245773362196,True,0.25,0.25,0.7189814574099975,2.1972245773362196,3.999999999999461,4.40783283271641,0.0493827160493827,432.00000000000017,True,18,227,False
product,0.8,127,0.9,0.5191097322094556,0.5186969219207963,0.5108256237659908,1.6217096516011247,0.5184487398406812,0.5227433975442318,0.04000000000000001,2.1973019518725527,True,0.08999999999999998,0.25,0.611504793008877,2.1973019518725527,6.566574961687543,13.781198989759528,3.0693441578870656e-05,2743599.9999999986,True,18,28,False
product,0.8,255,0.9,0.5150632700999395,0.5148635147386866,0.5108256237659908,0.8295680828826033,0.514745454219237,0.5170367095988847,0.04000000000000001,2.1972245800994847,True,0.08999999999999998,0.25,0.611504793008877,2.1972245800994847,6.557119260038538,13.810065784866035,3.0693441578870656e-05,2743599.9999999986,True,18,56,False
product,0.8,511,0.9,0.512970254320631,0.5128722656662775,0.5108256237659908,0.4198361348495428,0.5128145812443334,0.5140018139126507,0.04000000000000001,2.1972245773362196,True,0.08999999999999998,0.25,0.6115047930088768,2.1972245773362196,6.5522924019868505,13.824917174918378,3.0693441578870656e-05,2743599.9999999986,True,18,113,False
product,0.8,1023,0.9,0.5120776751390805,0.5119920211541512,0.5108256237659908,0.2451034785332669,0.5118825931451927,0.5128899395525707,0.04000000000000001,2.1972245773362196,True,0.08999999999999998,0.25,0.6115047930088766,2.1972245773362196,6.549853201875227,13.82491717491877,3.0693441578870656e-05,2743599.9999999986,True,18,227,False
